# phenotype data from Gatti et al. (2014) G3 4:1623-1633
# nrow 742
# ncol 3
id,WBC,NEUT
JAXW202.2686,5.9,654.9
JAXW202.2687,12.16,1136.96
JAXW202.2688,9.06,1872.7
JAXW202.2689,5.84,564.73
JAXW202.2692,4.94,599.22
JAXW202.2693,2.6,486.98
JAXW202.2694,5.8,614.22
JAXW202.2695,7.34,899.15
JAXW202.2697,5.62,563.12
JAXW202.2698,6.2,890.94
JAXW202.2699,9.16,619.22
JAXW202.2703,4.36,465.65
JAXW202.2704,3.64,484.48
JAXW202.2706,9.18,429.62
JAXW202.2707,8.82,1340.64
JAXW202.2708,7.34,921.17
JAXW202.2711,6.7,712.88
JAXW202.2712,12.7,1363.98
JAXW202.2713,9.22,1254.84
JAXW202.2715,5.16,780.71
JAXW202.2716,6.6,1154.34
JAXW202.2719,7.86,987.22
JAXW202.2720,3.68,342.98
JAXW202.2721,4.24,517.28
JAXW202.2722,3.78,495.94
JAXW202.2723,7.34,1123.75
JAXW202.2724,10.04,1657.6
JAXW202.2725,9.64,1310.08
JAXW202.2726,7.18,453.06
JAXW202.2727,5.08,325.12
JAXW202.2728,9.94,841.92
JAXW202.2729,2.92,335.51
JAXW202.2730,3.84,274.94
JAXW202.2731,4.4,572.88
JAXW202.2732,6.18,594.52
JAXW202.2733,6.08,435.94
JAXW202.2734,6.04,474.14
JAXW202.2735,4.1,567.03
JAXW202.2736,6.3,549.99
JAXW202.2737,5.9,362.26
JAXW202.2738,12.06,1291.63
JAXW202.2739,10.06,1428.52
JAXW202.2740,6.66,594.74
JAXW202.2741,8.06,948.66
JAXW202.2742,6.1,520.33
JAXW202.2743,5.08,1172.97
JAXW202.2744,6.64,403.71
JAXW202.2745,3.8,343.14
JAXW202.2746,5.36,417.01
JAXW202.2748,10.22,618.31
JAXW202.2749,7.58,782.26
JAXW202.2753,9.18,934.52
JAXW202.3001,6,975
JAXW202.3002,6.14,676.6
JAXW202.3003,5.24,811.7
JAXW202.3004,6.92,698.2
JAXW202.3005,5.96,312.9
JAXW202.3006,5.76,391.1
JAXW202.3008,6.9,924.6
JAXW202.3009,6.48,1358.9
JAXW202.3010,13.36,1102.2
JAXW202.3011,7.86,725.5
JAXW202.3012,7.58,1255.2
JAXW202.3013,5.32,521.9
JAXW202.3014,9.7,843.9
JAXW202.3015,7.2,643
JAXW202.3016,5.3,697
JAXW202.3017,3.68,157.9
JAXW202.3018,3.9,587
JAXW202.3020,7.66,1287.6
JAXW202.3021,6.4,649
JAXW202.3025,4.36,622.2
JAXW202.3026,3.3,431.6
JAXW202.3027,6.22,1004.5
JAXW202.3028,6.22,669.3
JAXW202.3029,2.54,486.9
JAXW202.3030,5.06,582.4
JAXW202.3031,7.74,548.8
JAXW202.3032,6.42,932.8
JAXW202.3033,5.1,514.1
JAXW202.3034,3.12,282.7
JAXW202.3035,6,677.4
JAXW202.3036,8.4,809.8
JAXW202.3037,4.4,396.4
JAXW202.3038,8.12,570.8
JAXW202.3039,4.2,866
JAXW202.3040,3.42,566.4
JAXW202.3041,6.58,831.7
JAXW202.3042,12.68,1690.2
JAXW202.3045,7.12,771.81
JAXW202.3089,3.72,714.24
JAXW202.3090,2.26,392.11
JAXW202.3093,3.7,450.29
JAXW202.3094,5.02,431.22
JAXW202.3095,2.5,380.5
JAXW202.3096,4.84,186.82
JAXW202.3097,4.18,453.53
JAXW202.3098,6.2,1269.14
JAXW202.3099,5.36,254.6
JAXW202.3100,4.06,321.55
JAXW202.3101,6.5,596.05
JAXW202.3102,3.8,563.16
JAXW202.3104,3.88,278.2
JAXW202.3105,5.96,353.43
JAXW202.3106,4.12,746.96
JAXW202.3107,6.22,455.93
JAXW202.3108,4.82,552.85
JAXW202.3109,4.42,335.48
JAXW202.3110,4.16,543.3
JAXW202.3112,6.18,833.68
JAXW202.3113,5.76,786.24
JAXW202.3114,8.36,735.68
JAXW202.3115,4.7,657.53
JAXW202.3118,9.24,464.77
JAXW202.3119,6.52,685.9
JAXW202.3120,4.9,486.57
JAXW202.3121,7.64,685.31
JAXW202.3122,5.98,697.27
JAXW202.3123,3.68,345.92
JAXW202.3124,5.44,529.86
JAXW202.3125,7.4,524.66
JAXW202.3126,12.64,661.07
JAXW202.3127,4.68,446.47
JAXW202.3129,5.9,738.68
JAXW202.3130,11.64,1086.01
JAXW202.3131,4.46,382.67
JAXW202.3132,7.26,876.28
JAXW202.3133,8.16,571.2
JAXW202.3134,6.62,729.52
JAXW202.3135,5.68,597.54
JAXW202.3136,4.1,480.93
JAXW202.3137,5.7,429.78
JAXW202.3138,2.86,423.85
JAXW202.3139,5.84,370.26
JAXW202.3140,7.14,537.64
JAXW202.3141,12.64,1295.6
JAXW202.3142,5.52,440.5
JAXW202.3143,2.54,332.49
JAXW202.3144,10.26,1310.2
JAXW202.3145,2.66,380.38
JAXW202.3148,7,717.5
JAXW202.3149,2.9,212.57
JAXW202.3151,4.6,499.1
JAXW202.3152,4.06,550.54
JAXW202.3153,6.46,327.52
JAXW202.3154,7.16,730.32
JAXW202.3155,3.94,296.68
JAXW202.3156,10.7,781.1
JAXW202.3157,7.66,562.24
JAXW202.3158,4.86,654.64
JAXW202.3159,7.36,918.53
JAXW202.3160,5.7,1935.15
JAXW202.3161,2.78,320.81
JAXW202.3162,3.84,241.54
JAXW202.3163,3.96,574.2
JAXW202.3164,4.74,440.82
JAXW202.3168,5.72,477.62
JAXW202.3169,4.74,374.93
JAXW202.3170,4.1,574.41
JAXW202.3171,9.46,715.18
