# Arabidopsis MAGIC phenotype data, Gnan et al (2014) 10.1534/genetics.114.170746
# nrow 677
# ncol 9
id,bolting_days,seed_weight,seed_area,ttl_seedspfruit,branches,height,pc_seeds_aborted,fruit_length
MAGIC.201,18.67,26.4,0.89,30.78,6.67,NA,0.95,12.12
MAGIC.202,15.67,23.04,0.75,64,6.33,46.5,0.53,16.1
MAGIC.203,19.33,24.98,0.77,70.22,4.67,NA,0.14,19.94
MAGIC.204,49,21.18,0.73,53,6.33,36.33,0,15.74
MAGIC.205,19.33,23.13,0.73,54.56,4.67,NA,0,16.89
MAGIC.206,18.33,20.89,0.71,52.89,6.33,NA,0,14.89
MAGIC.207,18,18.36,0.66,51.11,5.67,47.37,0,12.54
MAGIC.208,20,22.07,0.74,47.78,5.33,NA,0.51,12.72
MAGIC.209,22.67,21.68,0.73,61.56,4,NA,0,16.77
MAGIC.210,20.33,22.93,0.75,53.78,5,48.33,5.36,14.32
MAGIC.211,22,23.58,0.78,54,4.67,45.5,0.21,13.96
MAGIC.212,19.67,23,0.73,65.11,8.67,53.17,0.16,16.03
MAGIC.213,16,20.22,0.67,64,6.67,NA,0.32,15.9
MAGIC.214,25.33,24.72,0.79,52,6.67,39,0.64,13.46
MAGIC.215,18.33,24.45,0.79,55.56,6.67,53.5,0.64,17.2
MAGIC.216,20,24.52,0.81,30.78,4,43.85,6.29,13.73
MAGIC.217,29.67,26.55,0.81,53.44,2.67,47.5,0,16.04
MAGIC.218,22,21.86,0.73,64.89,6.67,NA,0.49,14.88
MAGIC.219,17.33,23.19,0.76,49.11,4,49.07,0,13.38
MAGIC.220,33,25.73,0.75,51.44,8,56.6,0.24,16.37
MAGIC.221,16.67,18.26,0.7,61.22,NA,NA,0.8,14.27
MAGIC.222,23,24.45,0.78,50.56,5.67,34.47,0.26,16.11
MAGIC.223,21,24.16,0.77,61.44,6.83,48.6,0.17,NA
MAGIC.224,24.67,30.08,0.93,29.61,3.67,NA,0,12.17
MAGIC.225,15.67,22.37,0.74,54.56,5,41.03,0.8,16.64
MAGIC.226,16.33,15.35,0.66,44.67,5.67,37.43,0.28,12.79
MAGIC.227,23,22.8,0.77,35.33,4,47.25,2.83,14.03
MAGIC.228,27.67,24.72,0.79,52.22,7.67,38.2,0.22,16.07
MAGIC.229,25.67,21.06,0.7,57.11,4.67,49.15,1.52,16.54
MAGIC.230,18.67,25.07,0.78,54.17,3.33,NA,0.3,15.33
MAGIC.231,21,22.83,0.73,61.67,4.67,45.3,0.56,16.32
MAGIC.232,25.67,22.14,0.74,46.78,4.33,41.33,0.24,13.12
MAGIC.233,22.67,24.52,0.77,55.67,4.67,36.5,0.23,13.66
MAGIC.234,22,20.98,0.74,50.44,4.67,45,0.22,14.3
MAGIC.235,22.33,22.67,0.75,61.22,3.67,43.87,0.54,16.44
MAGIC.236,15,18.51,0.65,58.89,6.67,29.5,0,14.45
MAGIC.237,17.33,20.13,0.68,63.11,7,47.25,0.19,15.93
MAGIC.238,42.33,23.06,0.82,42.33,6.67,42.67,0.61,17.17
MAGIC.239,25.67,21.33,0.71,46.33,8,49.1,0.99,13.58
MAGIC.240,19.33,19.67,0.67,55.67,4,18,0.44,12.41
MAGIC.241,20.33,21.28,0.72,55.44,8,NA,0,15.67
MAGIC.242,43.33,23.18,0.79,43.83,7.67,28.87,0.37,16.45
MAGIC.243,20.33,24.72,0.85,43.56,5,NA,1.02,15.85
MAGIC.244,21,22.3,0.73,53.44,3.67,50,0.43,12.81
MAGIC.245,34,27.8,0.85,44,8,41.5,0,12.64
MAGIC.246,61.67,20.87,0.75,43.67,6.67,26.67,3.12,16.27
MAGIC.247,15.67,19.43,0.65,57.67,7,NA,0,13.58
