# Phenotypes for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 529
# ncol 5
Line,PS,PH,EH,GYrad
20_30,82.6375,175.6529,98.5477,5.5693
20_31,82.0726,196.4729,115.1535,8.2465
20_44,72.6048,190.6127,111.0947,6.1115
20_45,72.8614,192.6611,101.3715,8.4964
20_54,78.42285,182.7124,94.2857,5.545
20_56,72.3477,211.419,83.6418,6.533
20_57,80.3659,143.2338,71.6294,3.5229
20_8,81.1256,184.274,94.0319,6.229
20_9,73.138,228.7339,115.919,9.391
21_10,73.6276,131.0482,56.818,3.7645
21_11,77.466,188.3063,102.1388,6.3525
21_12,71.9782,146.2579,73.7992,7.9626
21_16,80.2771,129.5242,47.7551,3.4053
21_19,80.3385,151.1773,71.2269,5.0494
21_2,82.4872,190.6046,108.7804,5.08522
21_20,78.8969,165.2661,99.3779,6.6264
21_24,75.3515,150.387,92.1829,6.748
21_34,72.9043,108.02,42.9314,5.9303
21_38,77.3611,185.5079,96.2457,7.9221
21_39,74.7972,139.0966,74.0824,4.6582
21_47,75.0412,156.1691,64.3527,6.6271
21_49,75.1012,145.403,50.2017,6.8185
21_5,77.4929,135.4918,64.9126,4.6005
21_6,74.9897,172.3386,73.271,6.3941
22_10,78.0231,173.9757,105.7804,6.5429
22_11,79.3265,224.5562,123.5601,9.3723
22_14,76.9963,159.4703,84.3339,9.2189
22_15,79.642,212.2419,116.5477,5.5012
22_22,69.921,149.4193,70.0824,8.7589
22_3,78.316,204.7176,101.1159,4.7841
22_34,78.2142,190.403,99.4155,6.622
22_35,75.8973,161.5565,77.8309,4.4182
22_36,72.0911,199.798,84.7046,5.23515
22_38,74.2782,168.5321,92.3527,7.2477
22_39,76.3158,150.7741,84.271,3.7595
22_42,80.1849,231.2099,164.8621,5.4438
22_45,79.3627,209.58069,133.0131,4.469
22_5,79.7341,217.5484,129.617,4.3484
22_6,78.269,168.8359,94.4385,6.534
23_11,80.7464,151.5134,67.1265,3.9941
23_24,70.5664,180.4677,105.5037,5.9473
23_25,79.5746,194.0188,110.3004,4.8671
23_26,80.8006,179.8064,72.8873,4.9864
23_28,73.1537,194.0966,112.0947,10.6316
23_29,76.8336,215.3226,110.3403,9.1489
23_3,81.1512,220.7336,107.4784,3.5635
23_37,79.7172,150.8545,68.8433,4.1078
23_39,78.2228,188.7901,95.7992,5.5097
23_43,71.3972,185.371,89.5665,6.3386
23_44,67.7695,145.9623,64.751,5.7167
23_6,77.2467,155.0884,60.4408,4.9601
23_7,76.1652,124.8359,65.5959,4.0014
23_8,77.0667,161.7983,85.5037,8.083
23_9,76.85,224.6614,90.3967,3.1926
24_1,76.8542,139.7258,69.2146,5.5262
24_10,75.5962,133.3707,58.8368,5.4545
24_12,80.7713,156.9192,79.1388,7.5888
24_13,73.4029,145.3063,54.6735,8.1284
24_14,77.5168,139.9999,78.4661,4.7834
24_15,77.5565,153.6127,80.3967,4.9765
24_19,79.8579,199.8627,120.8368,6.9651
24_21,81.2566,204.6774,112.4408,5.7164
24_23,78.53309,234.9568,133.5101,6.8829
24_26,73.7311,131.6934,71.8245,7.4724
24_28,71.1062,114.1936,51.1893,5.3342
24_6,79.0425,187.5804,75.4784,4.7518
24_7,79.5821,203.7741,120.12,5.4799
24_8,73.8167,132.6046,59.0947,6.8464
24_9,75.9039,169.7176,79.2164,10.4232
25_1,81.4875,234.6611,126.3339,6.9578
25_15,74.5296,223.6369,92.0571,7.1306
25_16,74.5579,162.6451,78.1829,8.1043
25_17,72.3539,94.48,37.7363,6.422
25_18,74.9145,124.7418,68.1641,4.4328
25_19,75.9062,151.9838,59.0824,5.6342
25_2,79.5961,149.0805,88.422,5.4302
25_20,73.5639,186.976,103.724,4.2819
25_25,73.8782,148.8708,59.0571,7.9551
25_3,72.5909,149.6369,64.0759,6.9523
25_30,78.8724,148.4353,82.3527,5.3099
25_36,77.5979,160.3063,91.5477,6.0898
25_37,81.0355,150.5725,87.573,4.0886
25_39,75.448,138.7095,80.5225,6.0062
25_5,71.9321,140.4837,53.1241,5.1731
26_12,77.5491,160.3628,75.7175,6.7634
26_19,80.0088,190.3063,92.8873,6.8356
26_2,73.4218,149.3145,91.2081,5.2119
26_23,72.7862,95.06,46.5853,4.6709
26_27,75.2361,133.8787,69.8515,6.6219
26_29,76.6461,157.4837,92.7363,6.4461
26_30,74.5122,126.6934,56.6482,5.6123
26_32,76.7358,174.1208,96.0571,4.5051
26_33,78.41481,117.2579,49.5289,4.4367
26_42,77.877,174.2981,81.7804,7.019
26_44,72.052,136.8225,65.7804,5.5723
