id,UNC210000095,UNC210000599,UNC210001275,UNC210001366,UNC210001613
JAXW202-2277,2.836,0.065,0.041,3.147,1.419
JAXW202-2563,2.837,0.288,0.187,3.258,1.767
JAXW202-2573,2.794,0.078,0.211,3.102,1.756
JAXW202-2586,2.957,0.07,0.034,3.471,1.547
JAXW202-2594,2.656,0.078,0.033,3.29,1.437
JAXW202-2602,2.831,0.087,0.022,3.523,1.313
JAXW202-2564,2.84,0.301,0.176,3.42,1.767
JAXW202-2574,2.975,0.317,0.157,3.2,1.783
JAXW202-2587,2.642,0.068,0.036,3.3,1.5
JAXW202-2595,2.846,0.073,0.035,3.253,1.428
JAXW202-2603,2.805,0.078,0.028,3.34,1.489
JAXW202-2279,2.708,0.092,0.033,3.377,1.452
JAXW202-2555,2.735,0.276,0.182,3.264,1.813
JAXW202-2575,2.873,0.199,0.107,3.377,1.592
JAXW202-2588,2.804,0.07,0.04,3.356,1.429
JAXW202-2596,2.955,0.049,0.022,3.535,1.424
JAXW202-2604,2.858,0.067,0.022,3.129,1.383
JAXW202-2280,2.766,0.052,0.014,3.23,1.387
JAXW202-2556,2.737,0.291,0.156,3.331,1.836
JAXW202-2566,2.897,0.285,0.195,3.428,1.816
JAXW202-2589,2.613,0.056,0.031,3.462,1.455
JAXW202-2567,2.795,0.279,0.212,3.424,1.451
JAXW202-2577,2.905,0.26,0.173,3.271,1.659
JAXW202-2590,2.782,0.061,0.029,3.375,1.474
JAXW202-2598,2.8,0.061,0.026,3.184,1.302
JAXW202-2606,2.856,0.071,0.031,3.19,1.329
JAXW202-2282,2.916,0.063,0.031,3.361,1.508
JAXW202-2550,3.033,0.265,0.159,4.004,1.791
JAXW202-2558,2.898,0.279,0.201,3.177,1.878
JAXW202-2599,2.954,0.098,0.04,3.305,1.422
JAXW202-2534,2.991,0.299,0.2,3.198,1.332
JAXW202-2543,2.882,0.259,0.217,3.456,1.735
JAXW202-2551,2.803,0.285,0.195,3.376,1.814
JAXW202-2561,3.102,0.288,0.172,3.499,1.8
JAXW202-2571,3.022,0.26,0.198,3.507,1.753
JAXW202-2609,2.751,0.095,0.042,3.219,1.476
JAXW202-2600,2.782,0.077,0.039,3.081,1.555
JAXW202-2536,3.006,0.271,0.188,3.458,1.759
JAXW202-2572,2.917,0.271,0.209,3.244,1.818
JAXW202-2610,2.96,0.072,0.041,3.449,1.479
JAXW202-2627,2.856,0.071,0.036,3.303,1.375
JAXW202-2636,3.382,0.253,0.157,3.849,1.92
JAXW202-2637,2.962,0.349,0.137,3.128,1.84
JAXW202-2648,2.819,0.313,0.161,3.038,1.652
JAXW202-2657,2.762,0.069,0.144,3.212,1.775
JAXW202-2677,2.655,0.066,0.031,3.154,1.436
JAXW202-2686,3.418,0.081,0.041,3.516,1.362
JAXW202-2695,2.584,0.069,0.023,2.876,1.421
JAXW202-2704,2.751,0.079,0.021,2.895,1.367
JAXW202-2712,2.806,0.067,0.016,3.09,1.53
JAXW202-2720,2.711,0.069,0.023,3.112,1.423
JAXW202-2392,2.676,0.378,0.136,2.871,1.8
JAXW202-2400,2.972,0.259,0.115,3.448,1.954
JAXW202-2638,2.844,0.288,0.138,3.273,1.863
JAXW202-2650,2.985,0.33,0.151,3.302,1.783
JAXW202-2678,2.717,0.069,0.015,2.996,1.517
